,created_at,user_id_str,username,tweet_url,Tweet,no_stopwords,sentiment
666,2023-08-19,803146663497867264,lehon_mangolu,https://twitter.com/lehon_mangolu/status/1692805577834156259,"Ketua Umum Partai Gerindra sekaligus bakal calon presiden, Prabowo Subianto, memaparkan 10 fokus kebijakan menuju Indonesia Emas 2024. #Jokowinomics Prabowo Subianto",ketua umum partai gerindra sekaligus prabowo subianto papar fokus bijak tuju indonesia emas jokowinomics prabowo subianto,Positive
667,2023-08-19,1392911246983241729,don_muzakir_,https://twitter.com/don_muzakir_/status/1692803384364204134,BUDIMAN dan PRABOWO BERSATU UNTUK INDONESIA. Relawan Prabu 08 ( Relawan Budiman Prabowo) Deklarasi Dukung Prabowo Presiden Pada Pemilu Tahun 2024. Dalam Pidatonya Berpesan Kepada Bapak Jika Terpilih Nantinya Jangan Lupa Memajukan Kesejahteraan Umum.… https://t.co/9BIt5kGhKf,budiman prabowo satu indonesia rawan prabu rawan budiman prabowo deklarasi dukung prabowo presiden milu tahun pidato pesan bapak pilih jangan lupa maju kesejahteran umum htps t co,Positive
668,2023-08-19,1668450712974688257,gita_sevira,https://twitter.com/gita_sevira/status/1692789913631305894,"Dukung terus Menteri Pertahanan Prabowo Subianto sebagai Calon Presiden (Capres) untuk Pilpres 2024! Bersama-sama, kita bisa membangun masa depan yang lebih baik bagi Indonesia. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024",dukung menteri tahan prabowo subianto bagai calon presiden capres pilpres sama bangun masa depan baik indonesia mendingprabowo terusmajubersamaprabowo,Positive
669,2023-08-18,55507370,tvOneNews,https://twitter.com/tvOneNews/status/1692562748486656202,Bacapres Prabowo Subianto bertekad meneruskan perjuangan Presiden Joko Widodo jika dia memperoleh mandat sebagai orang nomor satu di Indonesia setelah memenangi Pilpres 2024. Simak berita selengkapnya di https://t.co/fbU7XFF6RW #HardNews_Politik #NewsOne #CariBeritaditvOne https://t.co/DsvwLtr6FM,bacapres prabowo subianto tekad terus juang presiden joko widodo mandat bagai nomor satu indonesia tang pilpres simak berita lengkap htps t co hardnews politik newsone cariberitaditvone htps t co,Positive
670,2023-08-18,1607059587840241670,PandiSopanSire1,https://twitter.com/PandiSopanSire1/status/1692474401252679739,"😀 Dalam hati pak Prabowo,,hmmmm biasa aja...gak disyuting jg udah terkenal 😁👍 InsyaAllah tahun 2024 Prabowo Subianto Presiden Republik Indonesia yang ke-8. Amin....",hati pak prabowo hm biasa aja gak syuting kenal insyaalah prabowo subianto presiden republik indonesia amin,Positive
671,2023-08-18,1091866339344404480,Suarajelata1,https://twitter.com/Suarajelata1/status/1692460104619381038,"Melihat tanda-tanda alam, semuanya mengarah kepada Pak Prabowo. Dari tanggal lahirnya yang 17 (1+7=8), call sign tentaranya 08, hingga tahun pemilu 2024 yang jika ditambahkan angka 8, kita akan memilih Presiden Indonesia ke-8.",lihat tanda alam semua arah pak prabowo tangal lahir cal sign tentara hinga tambah angka pilih presiden indonesia,Negative
672,2023-08-18,909824927695589376,golbachgoals,https://twitter.com/golbachgoals/status/1692444638198816784,"Prabowo punya visi, program dan kemauan yang kuat untuk menyejahterakan rakyat Indonesia jika terpilih menjadi Presiden 2024,"" kata Igor lewat keterangan yang diterima, #Jokowinomics Prabowo Subianto .""",prabowo punya visi program mau kuat sejahtera indonesia presiden kata igor lewat terang terima jokowinomics prabowo subianto,Positive
673,2023-08-18,1674986873805234176,farah_rahm97951,https://twitter.com/farah_rahm97951/status/1692442239031779728,"PROJO sudah deklarasi untuk mendukung prabowo di pilpres 2024, waktunya rakyat indonesia #AllinPrabowo dukung penuh untuk menjadi presiden di 2024 https://t.co/WJHc5aMIn9",projo deklarasi waktu alinprabowo penuh htps t co,Negative
674,2023-08-18,1692360767868473344,DSetyo63371,https://twitter.com/DSetyo63371/status/1692363768007954483,Prabowo presiden Republik indonesia 2024,prabowo republik,Positive
675,2023-08-17,435505705,signor_id,https://twitter.com/signor_id/status/1692248506948538504,"Menuju Pemilihan Presiden 2024, tiga poros calon muncul: Prabowo (Gerindra dst.), Ganjar (PDIP dst.), dan Anies (Demokrat dst.). Kompetisi ini uji demokrasi dan tawarkan pilihan bermutu untuk Indonesia. https://t.co/qa9VwXB0V6",tuju pilih presiden tiga poros muncul prabowo gerindra ganjar pdip anies demokrat kompetisi uji demokrasi tawar pilih mutu indonesia htps t co,Negative
